Round,Min_Effort,Num_Agents,P1_Effort,P1_Payoff,P2_Effort,P2_Payoff,P3_Effort,P3_Payoff,P4_Effort,P4_Payoff,P5_Effort,P5_Payoff,P6_Effort,P6_Payoff,P7_Effort,P7_Payoff,P8_Effort,P8_Payoff,P9_Effort,P9_Payoff,P10_Effort,P10_Payoff,P11_Effort,P11_Payoff,P12_Effort,P12_Payoff,P13_Effort,P13_Payoff,P14_Effort,P14_Payoff,P15_Effort,P15_Payoff,P16_Effort,P16_Payoff,P17_Effort,P17_Payoff,P18_Effort,P18_Payoff,P19_Effort,P19_Payoff,P20_Effort,P20_Payoff
1,1,20,2,10.0,6,6.0,2,10.0,2,10.0,7,5.0,3,9.0,1,11.0,5,7.0,7,5.0,2,10.0,2,10.0,7,5.0,4,8.0,7,5.0,4,8.0,6,6.0,1,11.0,2,10.0,4,8.0,6,6.0
2,1,20,1,11.0,3,9.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,1,11.0,2,10.0,1,11.0,7,5.0,6,6.0,7,5.0,1,11.0,1,11.0,1,11.0,5,7.0,2,10.0
3,1,20,1,11.0,3,9.0,2,10.0,3,9.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,4,8.0,2,10.0,1,11.0,7,5.0,5,7.0,4,8.0,1,11.0,1,11.0,3,9.0,6,6.0,1,11.0
4,1,20,1,11.0,3,9.0,2,10.0,4,8.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,6,6.0,6,6.0,1,11.0,7,5.0,4,8.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
5,1,20,1,11.0,1,11.0,2,10.0,5,7.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,3,9.0,4,8.0,1,11.0,7,5.0,3,9.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
6,1,20,1,11.0,2,10.0,2,10.0,6,6.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,1,11.0,3,9.0,1,11.0,7,5.0,2,10.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
7,1,20,1,11.0,1,11.0,2,10.0,7,5.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,7,5.0,2,10.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,7,5.0,1,11.0
8,1,20,1,11.0,2,10.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,7,5.0,7,5.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
9,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,7,5.0,3,9.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
10,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,5,7.0,7,5.0,1,11.0
11,1,20,1,11.0,2,10.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
12,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
13,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
14,1,20,1,11.0,2,10.0,2,10.0,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,1,11.0,5,7.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
15,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,4,8.0,1,11.0,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,3,9.0,7,5.0,1,11.0
16,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,6,6.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,6,6.0,7,5.0,1,11.0
17,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
18,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,6,6.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
19,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,5,7.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
20,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,4,8.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
21,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
22,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
23,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
24,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,5,7.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
25,1,20,1,11.0,1,11.0,2,10.0,1,11.0,1,11.0,3,9.0,1,11.0,1,11.0,1,11.0,4,8.0,1,11.0,1,11.0,7,5.0,1,11.0,1,11.0,1,11.0,1,11.0,1,11.0,7,5.0,1,11.0
